,word1,word2,human_score,wordnet_score,word2vec_score
0,access,gateway,3.791666667,2.538973871058276,0.315719336271286
1,account,explanation,2.0,3.6375861597263857,0.24153918027877808
2,account,invoice,3.75,3.6375861597263857,0.276443213224411
3,account,statement,3.6818181819999998,2.9444389791664407,0.19284522533416748
4,acoustic,remedy,1.2272727270000001,2.9444389791664407,0.031524039804935455
5,acrylic,cloth,2.739130435,2.9444389791664407,0.4250924289226532
6,action,adjustment,2.0,2.538973871058276,0.16254760324954987
7,action,entrance,1.5833333330000001,2.538973871058276,-0.0055555496364831924
8,activity,event,4.083333333,2.538973871058276,0.15490643680095673
9,activity,music,2.6818181819999998,2.9444389791664407,0.12320689857006073
10,activity,skiing,3.45,2.2512917986064953,0.1225397139787674
11,addition,segment,2.5,2.2512917986064953,0.18382152915000916
12,adhesive,glue,4.608695652,2.538973871058276,0.5828511714935303
13,adult,dentist,2.47826087,2.0281482472922856,0.16337624192237854
14,adult,doctor,2.782608696,2.0281482472922856,0.14563731849193573
15,afternoon,substance,1.0,2.2512917986064953,0.09629164636135101
16,age,childhood,3.782608696,2.538973871058276,0.3242049515247345
17,agency,army,2.916666667,2.9444389791664407,0.1340247541666031
18,agency,office,3.857142857,3.6375861597263857,0.3410532772541046
19,agency,police,3.19047619,2.538973871058276,0.17157071828842163
20,agent,spy,4.0,2.538973871058276,0.22239892184734344
21,agreement,contract,4.476190476,2.538973871058276,0.5878522992134094
22,aim,purpose,4.3636363639999995,3.6375861597263857,0.4913741946220398
23,aircraft,balloon,2.869565217,2.538973871058276,0.30553919076919556
24,aircraft,yacht,2.434782609,2.2512917986064953,0.36626049876213074
25,alarm,horn,3.458333333,2.9444389791664407,0.2505389153957367
26,alarm,press,2.0,2.2512917986064953,0.04788225144147873
27,algorithm,search,1.863636364,2.0281482472922856,0.18196694552898407
28,alien,stranger,3.428571429,3.6375861597263857,0.19160334765911102
29,alloy,metal,3.954545455,3.6375861597263857,0.5472536683082581
30,alphabet,script,3.5,2.9444389791664407,0.2450544834136963
31,aluminum,oxygen,1.608695652,2.2512917986064953,0.18261118233203888
32,amount,distance,1.9583333330000001,2.538973871058276,0.14687392115592957
33,amount,number,4.1363636360000005,3.258096538021482,0.45802977681159973
34,amount,season,1.434782609,2.2512917986064953,0.09351825714111328
35,amusement,athletics,2.6,2.538973871058276,0.09771433472633362
36,amusement,play,4.041666667,2.538973871058276,0.021676279604434967
37,amusement,procedure,1.454545455,2.2512917986064953,0.006005164701491594
38,anatomy,creation,2.565217391,2.2512917986064953,0.03574077785015106
39,animal,flora,2.0,2.538973871058276,0.2680676579475403
40,animal,worm,2.72,2.538973871058276,0.18760521709918976
41,ankle,joint,4.227272727,2.2512917986064953,0.09240589290857315
42,anniversary,birthday,3.727272727,2.9444389791664407,0.6355036497116089
43,answer,plea,2.44,2.9444389791664407,0.1278296858072281
44,apparel,dress,4.227272727,3.6375861597263857,0.3638991415500641
45,appearance,shadow,2.52173913,2.538973871058276,0.06120753288269043
46,apple,bank,1.125,1.2396908869280152,0.09847899526357651
47,apple,orange,3.47826087,2.2512917986064953,0.3920346200466156
48,apple,pod,2.0434782609999997,2.2512917986064953,0.17623195052146912
49,appliance,dryer,3.333333333,2.9444389791664407,0.4007231295108795
50,appliance,refrigerator,4.227272727,2.2512917986064953,0.4041455388069153
51,approach,swing,1.6521739130000002,2.9444389791664407,0.22982333600521088
52,approval,encouragement,2.8636363639999995,2.9444389791664407,0.2211473137140274
53,approving,interaction,2.0,1.6916760106710724,-0.028190502896904945
54,arc,rainbow,3.347826087,2.9444389791664407,0.20204590260982513
55,architecture,engineering,3.25,2.538973871058276,0.4252658188343048
56,area,patio,2.545454545,2.9444389791664407,0.20539109408855438
57,area,region,4.318181818,3.6375861597263857,0.5685420036315918
58,argument,evidence,3.045454545,2.9444389791664407,0.4030219316482544
59,argument,indication,1.772727273,2.538973871058276,0.21126717329025269
60,arm,arrow,2.230769231,2.538973871058276,0.2873231768608093
61,arm,missile,2.772727273,2.9444389791664407,0.10707105696201324
62,armor,mail,1.913043478,2.538973871058276,0.11141513288021088
63,army,legion,3.285714286,2.9444389791664407,0.31562647223472595
64,aroma,fragrance,4.681818182,3.6375861597263857,0.49516913294792175
65,aroma,smell,4.19047619,3.6375861597263857,0.7462227940559387
66,arrangement,blizzard,1.25,2.2512917986064953,0.006453623995184898
67,arrangement,room,2.3809523809999997,2.538973871058276,0.1303066462278366
68,article,girl,1.208333333,1.55814461804655,0.07161868363618851
69,artillery,gun,3.541666667,3.6375861597263857,0.31728944182395935
70,aspen,maple,2.791666667,2.2512917986064953,0.44410815834999084
71,ass,donkey,4.85,2.9444389791664407,0.3451817035675049
72,assembly,crowd,3.3636363639999995,2.538973871058276,0.11833680421113968
73,assets,capital,4.090909091,2.9444389791664407,0.3060295283794403
74,assets,credit,3.47826087,2.9444389791664407,0.2780695855617523
75,assets,income,4.038461538,2.0281482472922856,0.37657982110977173
76,association,organization,4.3623188410000004,2.9444389791664407,0.5026217699050903
77,athlete,participant,3.458333333,2.538973871058276,0.2533724009990692
78,athletics,racing,3.826086957,2.9444389791664407,0.28749990463256836
79,athletics,swimming,3.45,2.538973871058276,0.4530657231807709
80,attitude,notice,1.486486486,1.845826690498331,0.1554044634103775
81,attitude,study,1.88,2.0281482472922856,0.044458139687776566
82,attorney,lawyer,4.681818182,3.6375861597263857,0.8204510807991028
83,attraction,pressure,1.565217391,2.2512917986064953,0.08865930140018463
84,attraction,quality,2.347826087,2.9444389791664407,0.05594451352953911
85,attribute,condition,2.576923077,2.538973871058276,0.12684540450572968
86,average,time,2.3809523809999997,2.0281482472922856,0.16192664206027985
87,baby,computer,1.24,2.2512917986064953,0.10761381685733795
